City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
254,Aden,12.7794,45.0367,76.37,66,3,5.44,YE,2022-02-13 06:28:18
255,Vila Franca Do Campo,37.7167,-25.4333,62.2,92,100,9.22,PT,2022-02-13 06:28:19
256,Upernavik,72.7868,-56.1549,-3.01,85,100,19.86,GL,2022-02-13 06:28:19
257,Gayeri,12.6497,0.4931,68.41,14,1,7.65,BF,2022-02-13 06:28:20
258,Cravo Norte,6.3017,-70.2041,79.68,52,100,6.15,CO,2022-02-13 06:28:20
259,Bengkulu,-3.8004,102.2655,84.16,69,97,7.63,ID,2022-02-13 06:24:01
260,Broome,42.2506,-75.833,27.01,75,100,9.22,US,2022-02-13 06:28:22
261,Oxelosund,58.6706,17.1015,35.53,75,75,13.8,SE,2022-02-13 06:28:23
262,Ensenada,31.8667,-116.6167,66.9,28,28,7.92,MX,2022-02-13 06:28:23
263,Ancud,-41.8697,-73.8203,58.53,92,57,0.18,CL,2022-02-13 06:28:24
264,Belyy Yar,53.6039,91.3903,-7.71,64,90,0.0,RU,2022-02-13 06:28:24
265,Dikson,73.5069,80.5464,-4.45,91,100,25.23,RU,2022-02-13 06:28:25
266,Ixtapa,20.7,-105.2,68.23,76,4,3.11,MX,2022-02-13 06:28:25
267,Vagur,61.4732,-6.8119,38.53,95,99,32.32,FO,2022-02-13 06:28:26
268,Calama,-22.4667,-68.9333,50.72,44,3,1.52,CL,2022-02-13 06:28:01
269,Vardo,70.3705,31.1107,25.05,72,3,16.98,NO,2022-02-13 06:28:26
270,Tuktoyaktuk,69.4541,-133.0374,-34.6,67,0,4.61,CA,2022-02-13 06:29:27
271,Nuevo Casas Grandes,30.4167,-107.9167,42.04,46,0,3.49,MX,2022-02-13 06:29:27
272,Sitka,57.0531,-135.33,37.29,87,100,5.75,US,2022-02-13 06:29:28
273,Beringovskiy,63.05,179.3167,-24.14,95,7,5.01,RU,2022-02-13 06:29:28
274,Gidole,5.65,37.3667,67.28,39,38,6.44,ET,2022-02-13 06:29:29
275,Port Shepstone,-30.7414,30.455,78.4,80,22,11.68,ZA,2022-02-13 06:29:29
276,Sisian,39.5256,46.0251,25.16,65,15,4.74,AM,2022-02-13 06:29:30
277,Tshela,-4.9833,12.9333,73.92,97,100,1.23,CD,2022-02-13 06:29:30
278,Mayumba,-3.432,10.6554,78.19,89,100,5.5,GA,2022-02-13 06:29:31
279,Longuenesse,50.734,2.2352,36.79,76,97,14.14,FR,2022-02-13 06:29:31
280,Pevek,69.7008,170.3133,-18.04,98,100,7.7,RU,2022-02-13 06:29:32
281,Saldanha,-33.0117,17.9442,66.25,81,76,11.21,ZA,2022-02-13 06:29:32
282,Margate,51.3813,1.3862,45.97,83,100,8.01,GB,2022-02-13 06:29:33
283,Decatur,39.8403,-88.9548,16.66,92,23,4.61,US,2022-02-13 06:27:02
284,Chandler,33.3062,-111.8412,69.66,19,0,6.91,US,2022-02-13 06:29:34
285,La Ronge,55.1001,-105.2842,-3.75,77,100,3.44,CA,2022-02-13 06:29:22
286,Luderitz,-26.6481,15.1594,73.38,67,0,11.05,NA,2022-02-13 06:29:34
287,Souillac,-20.5167,57.5167,86.38,74,40,14.97,MU,2022-02-13 06:29:35
288,Tarko-Sale,64.9225,77.785,-5.67,92,6,13.18,RU,2022-02-13 06:29:35
289,Rize,40.9044,40.8949,26.06,70,64,2.1,TR,2022-02-13 06:29:36
290,Ayorou,14.7308,0.9174,66.65,13,20,8.61,NE,2022-02-13 06:29:36
291,Anadyr,64.75,177.4833,-25.1,75,0,13.42,RU,2022-02-13 06:29:37
292,Cervo,43.6702,-7.4101,48.2,70,95,15.52,ES,2022-02-13 06:29:37
293,Taseyevo,57.2169,94.8978,4.32,81,23,8.88,RU,2022-02-13 06:29:39
294,Aykhal,66.0,111.5,-1.59,73,16,2.08,RU,2022-02-13 06:29:39
295,Udachnyy,66.4167,112.4,0.45,77,25,1.19,RU,2022-02-13 06:29:40
296,Gorin,51.1983,136.6669,16.92,92,100,8.34,RU,2022-02-13 06:29:41
297,Inuvik,68.3499,-133.7218,-30.14,75,20,2.3,CA,2022-02-13 06:29:13
298,Sioux Lookout,50.1001,-91.917,-21.62,82,0,0.0,CA,2022-02-13 06:29:41
299,Tome,-36.6167,-72.95,56.26,87,100,6.96,CL,2022-02-13 06:29:42
300,Tromso,69.6496,18.957,19.38,73,0,2.3,NO,2022-02-13 06:28:23
301,Beyneu,45.3167,55.2,41.05,87,100,16.82,KZ,2022-02-13 06:25:42
302,Kampot,10.6167,104.1833,87.85,55,31,7.76,KH,2022-02-13 06:29:43
303,Rocha,-34.4833,-54.3333,61.36,87,100,11.77,UY,2022-02-13 06:29:43
304,Itarema,-2.9248,-39.9167,76.51,90,80,7.05,BR,2022-02-13 06:20:39
305,Abu Dhabi,24.4667,54.3667,69.91,56,20,14.97,AE,2022-02-13 06:27:28
306,Bandarbeyla,9.4942,50.8122,77.97,70,62,14.81,SO,2022-02-13 06:29:44
307,Hualmay,-11.0964,-77.6139,70.43,80,99,7.0,PE,2022-02-13 06:29:45
308,Paracuru,-3.41,-39.0306,82.11,90,91,7.52,BR,2022-02-13 06:29:45
309,Ust-Ilimsk,58.0006,102.6619,2.32,79,37,5.23,RU,2022-02-13 06:29:47
310,Escanaba,45.7453,-87.0646,5.43,78,100,5.75,US,2022-02-13 06:29:47
311,Chenghai,23.4632,116.768,64.31,77,100,6.71,CN,2022-02-13 06:29:48
312,Yar-Sale,66.8333,70.8333,-9.51,95,66,14.47,RU,2022-02-13 06:29:48
313,Madarounfa,13.3087,7.156,59.23,15,0,9.93,NE,2022-02-13 06:29:49
